id,region,total_population,urban_population,rural_population,area,the_population_density
9,Тюменская область,3510683,2768413,742270,1464173,"2,4"
29,Белгородская область,1540985,1026485,514500,27134,"56,8"
40,Ярославская область,1271672,1041481,230191,36177,"35,2"
52,Ивановская область,1048961,850451,198510,21437,"48,9"
62,Республика Мордовия,818566,502039,316527,26128,"31,3"
73,Республика Хакасия,533025,361111,171914,61569,"8,7"
84,Чукотский автономный округ,50780,33851,16929,721481,"0,1"
1,Москва,11979529,11843643,135886,2511,"4770,8"
11,Нижегородская область,3289841,2603581,686260,76624,"42,9"
30,Тульская область,1532436,1207132,325304,25679,"59,7"
50,Тамбовская область,1075748,635444,440304,34462,"31,2"
61,Кабардино-Балкарская Республика,858946,465106,393840,12470,"68,9"
71,Новгородская область,625855,441298,184557,54501,"11,5"
82,Еврейская автономная область,172671,117184,55487,36266,"4,8"
2,Московская область,7048084,5739459,1308625,44379,"158,8"
12,Самарская область,3213289,2581102,632187,53565,"60,0"
24,Оренбургская область,2016086,1202748,813338,123702,"16,3"
33,Тюменская область без ХМАО и ЯНАО,1385008,860041,524967,160122,"8,6"
43,Архангельская область,1202295,920766,281529,589913,"2,0"
54,Калужская область,1005585,763022,242563,29777,"33,8"
64,Мурманская область,780401,723510,56891,144902,"5,4"
75,Карачаево-Черкесская Республика,471847,202345,269502,14277,"33,0"
3,Краснодарский край,5330181,2851570,2478611,75485,"70,6"
16,Кемеровская область,2742450,2345054,397396,95725,"28,6"
28,Ханты-Мансийский автономный округ — Югра,1584063,1454692,129371,534801,"3,0"
47,Рязанская область,1144650,813167,331483,39605,"28,9"
58,Калининградская область,954773,739913,214860,15125,"63,1"
68,Псковская область,661507,464716,196791,55399,"11,9"
79,Республика Тыва,310460,167385,143075,168604,"1,8"
4,Санкт-Петербург,5028000,5028000,0,1399,"3594,0"
7,Республика Башкортостан,4060957,2480222,1580735,142947,"28,4"
14,Красноярский край,2846475,2181591,664884,2366797,"1,2"
17,Новосибирская область,2709461,2109991,599470,177756,"15,2"
23,Воронежская область,2330377,1545002,785375,52216,"44,6"
39,Ульяновская область,1274487,943552,330935,37181,"34,3"
48,Курская область,1119262,743795,375467,29997,"37,3"
59,Курганская область,885759,537681,348078,71488,"12,4"
69,Костромская область,658906,464510,194396,60211,"10,9"
80,Республика Калмыкия,284140,127091,157049,74731,"3,8"
5,Свердловская область,4315830,3628452,687378,194307,"22,2"
8,Республика Татарстан,3822038,2900747,921291,67847,"56,3"
15,Ставропольский край,2790785,1608465,1182320,66160,"42,2"
18,Пермский край,2634461,1978502,655959,160236,"16,4"
51,Томская область,1064245,757640,306605,314391,"3,4"
72,Ямало-Ненецкий автономный округ,541612,453680,87932,769250,"0,7"
83,Магаданская область,152358,146017,6341,462464,"0,3"
19,Волгоградская область,2583002,1970526,612476,112877,"22,9"
25,Омская область,1973985,1416571,557414,141140,"14,0"
34,Пензенская область,1368657,927210,441447,43352,"31,6"
38,Кировская область,1319076,986220,332856,120374,"11,0"
46,Архангельская область без НАО,1159506,890821,268685,413103,"2,8"
57,Республика Саха (Якутия),955580,620514,335066,3083523,"0,3"
67,Республика Марий Эл,690349,444135,246214,23375,"29,5"
78,Камчатский край,320549,247187,73362,464275,"0,7"
6,Ростовская область,4254613,2878328,1376285,100967,"42,1"
10,Челябинская область,3485272,2865583,619689,88529,"39,4"
27,Ленинградская область,1751135,1141275,609860,83908,"20,9"
49,Забайкальский край,1095169,731555,363614,431892,"2,5"
60,Республика Коми,880639,681053,199586,416774,"2,1"
70,Республика Карелия,636932,501930,135002,180520,"3,5"
81,Республика Алтай,210344,60828,149516,92903,"2,3"
13,Республика Дагестан,2946035,1328536,1617499,50270,"58,6"
20,Саратовская область,2503305,1872358,630947,101240,"24,7"
21,Иркутская область,2422026,1925617,496409,774846,"3,1"
32,Владимирская область,1421742,1103833,317909,29084,"48,9"
36,Тверская область,1334061,998602,335459,84201,"15,8"
41,Брянская область,1253666,869220,384446,34857,"36,0"
42,Чувашская Республика,1243431,743637,499794,18343,"67,8"
53,Астраханская область,1013840,676083,337757,49024,"20,7"
63,Амурская область,816910,548153,268757,361913,"2,3"
74,Сахалинская область,493302,398689,94613,87101,"5,7"
85,Ненецкий автономный округ,42789,29945,12844,176810,"0,2"
22,Алтайский край,2398751,1331015,1067736,167996,"14,3"
35,Хабаровский край,1342083,1093567,248516,787633,"1,7"
45,Липецкая область,1162235,744217,418018,24047,"48,3"
56,Республика Бурятия,971810,573392,398418,351334,"2,8"
66,Республика Северная Осетия — Алания,706123,451403,254720,7987,"88,4"
77,Республика Ингушетия,442255,176497,265758,3628,"121,9"
26,Приморский край,1947263,1490636,456627,164673,"11,8"
31,Удмуртская Республика,1517692,986484,531208,42061,"36,1"
37,Чеченская Республика,1324767,461212,863555,15647,"84,7"
44,Вологодская область,1196196,852893,343303,144527,"8,3"
55,Смоленская область,975188,706742,268446,49779,"19,6"
65,Орловская область,775826,510592,265234,24652,"31,5"
76,Республика Адыгея,444403,208725,235678,7792,"57,0"
